Provider,Inpatient_ClaimID_count,Inpatient_BeneID_nunique,Inpatient_InscClaimAmtReimbursed_sum,Inpatient_InscClaimAmtReimbursed_mean,Inpatient_InscClaimAmtReimbursed_std,Inpatient_InscClaimAmtReimbursed_max,Inpatient_DeductibleAmtPaid_sum,Inpatient_DeductibleAmtPaid_mean,Inpatient_ClaimDuration_mean,Inpatient_ClaimDuration_max,Inpatient_Age_mean,Inpatient_NumDiagnoses_mean,Inpatient_NumDiagnoses_max,Inpatient_NumProcedures_mean,Inpatient_NumProcedures_max,Inpatient_AttendingPhysician_nunique,Inpatient_OperatingPhysician_nunique,Inpatient_OtherPhysician_nunique,Inpatient_LengthOfStay_mean,Inpatient_LengthOfStay_max,Inpatient_ChronicCond_Alzheimer_mean,Inpatient_ChronicCond_Heartfailure_mean,Inpatient_ChronicCond_KidneyDisease_mean,Inpatient_ChronicCond_Cancer_mean,Inpatient_ChronicCond_ObstrPulmonary_mean,Inpatient_ChronicCond_Depression_mean,Inpatient_ChronicCond_Diabetes_mean,Inpatient_ChronicCond_IschemicHeart_mean,Inpatient_ChronicCond_Osteoporasis_mean,Inpatient_ChronicCond_rheumatoidarthritis_mean,Inpatient_ChronicCond_stroke_mean,Outpatient_ClaimID_count,Outpatient_BeneID_nunique,Outpatient_InscClaimAmtReimbursed_sum,Outpatient_InscClaimAmtReimbursed_mean,Outpatient_InscClaimAmtReimbursed_std,Outpatient_InscClaimAmtReimbursed_max,Outpatient_DeductibleAmtPaid_sum,Outpatient_DeductibleAmtPaid_mean,Outpatient_ClaimDuration_mean,Outpatient_ClaimDuration_max,Outpatient_Age_mean,Outpatient_NumDiagnoses_mean,Outpatient_NumDiagnoses_max,Outpatient_NumProcedures_mean,Outpatient_NumProcedures_max,Outpatient_AttendingPhysician_nunique,Outpatient_OperatingPhysician_nunique,Outpatient_OtherPhysician_nunique,Outpatient_ChronicCond_Alzheimer_mean,Outpatient_ChronicCond_Heartfailure_mean,Outpatient_ChronicCond_KidneyDisease_mean,Outpatient_ChronicCond_Cancer_mean,Outpatient_ChronicCond_ObstrPulmonary_mean,Outpatient_ChronicCond_Depression_mean,Outpatient_ChronicCond_Diabetes_mean,Outpatient_ChronicCond_IschemicHeart_mean,Outpatient_ChronicCond_Osteoporasis_mean,Outpatient_ChronicCond_rheumatoidarthritis_mean,Outpatient_ChronicCond_stroke_mean,Total_Claims,Total_Reimbursement,Avg_Reimbursement_Per_Claim,Inpatient_Outpatient_Ratio,Total_Unique_Beneficiaries,Claims_Per_Beneficiary,Avg_Chronic_Conditions_Inpatient,Avg_Chronic_Conditions_Outpatient,PotentialFraud
PRV51001,5.0,5.0,97000.0,19400.0,18352.11159512714,42000.0,5340.0,1068.0,6.0,15.0,78.2,7.2,9.0,0.6,2.0,4.0,2.0,1.0,6.0,15.0,0.4,0.8,0.8,0.2,0.4,0.8,0.8,0.8,0.0,0.6,0.4,20.0,19.0,7640.0,382.0,422.817616522899,1500.0,0.0,0.0,1.55,10.0,78.3,2.2,6.0,0.0,0.0,10.0,3.0,7.0,0.65,0.75,0.65,0.2,0.4,0.25,0.85,0.95,0.3,0.25,0.2,25.0,104640.0,4185.5983257606695,0.23809523809523808,24.0,1.0416662326390698,6.0,5.45,0
PRV51003,62.0,53.0,573000.0,9241.935483870968,8513.606243799273,57000.0,66216.0,1068.0,6.161290322580645,28.0,70.38709677419355,8.112903225806452,10.0,0.7741935483870968,2.0,2.0,2.0,0.0,6.161290322580645,28.0,0.5161290322580645,0.5806451612903226,0.6290322580645161,0.11290322580645161,0.3709677419354839,0.4032258064516129,0.7903225806451613,0.8870967741935484,0.20967741935483872,0.3064516129032258,0.11290322580645161,70.0,66.0,32670.0,466.7142857142857,821.3645793779573,3300.0,70.0,1.0,3.357142857142857,21.0,68.81428571428572,2.7142857142857144,10.0,0.0,0.0,44.0,5.0,22.0,0.34285714285714286,0.6285714285714286,0.35714285714285715,0.04285714285714286,0.2571428571428571,0.4142857142857143,0.7285714285714285,0.8142857142857143,0.2857142857142857,0.2714285714285714,0.07142857142857142,132.0,605670.0,4588.408743302368,0.8732394366197183,119.0,1.1092436042652434,4.919354838709678,4.2142857142857135,1
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,52170.0,350.13422818791946,689.9637540197714,3300.0,310.0,2.0805369127516777,2.4295302013422817,21.0,71.81208053691275,2.5838926174496644,9.0,0.0,0.0,38.0,19.0,26.0,0.42953020134228187,0.5906040268456376,0.33557046979865773,0.10738255033557047,0.2751677852348993,0.4228187919463087,0.7046979865771812,0.7248322147651006,0.3288590604026846,0.3087248322147651,0.11409395973154363,149.0,52170.0,350.13420468897954,0.0,138.0,1.0797100666876762,0.0,4.342281879194631,0
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,280910.0,241.1244635193133,491.556391867259,4080.0,3700.0,3.1759656652360513,2.088412017167382,21.0,70.00085836909871,2.5888412017167384,10.0,0.0,0.0,6.0,6.0,4.0,0.36566523605150214,0.5836909871244635,0.4351931330472103,0.14163090128755365,0.2532188841201717,0.41630901287553645,0.6858369098712447,0.7682403433476395,0.2952789699570815,0.28412017167381975,0.10643776824034334,1165.0,280910.0,241.12446144957545,0.0,495.0,2.353535305989186,0.0,4.335622317596566,1
PRV51007,3.0,3.0,19000.0,6333.333333333333,3511.884584284246,10000.0,3204.0,1068.0,6.333333333333333,8.0,78.33333333333333,7.333333333333333,9.0,0.3333333333333333,1.0,2.0,1.0,0.0,6.333333333333333,8.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,69.0,56.0,14710.0,213.18840579710144,447.2316571506486,3300.0,60.0,0.8695652173913043,1.7681159420289856,21.0,68.3768115942029,2.7971014492753623,10.0,0.0,0.0,8.0,4.0,7.0,0.34782608695652173,0.5362318840579711,0.30434782608695654,0.17391304347826086,0.2318840579710145,0.391304347826087,0.6666666666666666,0.6956521739130435,0.30434782608695654,0.30434782608695654,0.14492753623188406,72.0,33710.0,468.1943794174473,0.04285714285714286,59.0,1.2203387762137667,5.666666666666666,4.101449275362318,0
PRV51008,2.0,2.0,25000.0,12500.0,12020.815280171308,21000.0,2136.0,1068.0,5.0,6.0,51.0,7.5,9.0,1.0,1.0,2.0,2.0,0.0,5.0,6.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,41.0,34.0,10630.0,259.2682926829268,404.0383041488916,1900.0,180.0,4.390243902439025,2.4146341463414633,21.0,76.21951219512195,2.951219512195122,10.0,0.0,0.0,8.0,3.0,5.0,0.3902439024390244,0.6097560975609756,0.3170731707317073,0.1951219512195122,0.1951219512195122,0.2926829268292683,0.7073170731707317,0.7560975609756098,0.2682926829268293,0.14634146341463414,0.04878048780487805,43.0,35630.0,828.6044584640794,0.047619047619047616,36.0,1.194444112654413,3.5,3.926829268292683,0
PRV51011,1.0,1.0,5000.0,5000.0,0.0,5000.0,1068.0,1068.0,6.0,6.0,97.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,57.0,52.0,11630.0,204.03508771929825,310.7873621322992,1600.0,300.0,5.2631578947368425,1.4736842105263157,18.0,73.45614035087719,2.43859649122807,9.0,0.0,0.0,27.0,10.0,15.0,0.42105263157894735,0.6491228070175439,0.42105263157894735,0.07017543859649122,0.3684210526315789,0.5263157894736842,0.7017543859649122,0.7543859649122807,0.3333333333333333,0.2631578947368421,0.03508771929824561,58.0,16630.0,286.7240884958468,0.017241379310344827,53.0,1.0943394161623743,7.0,4.543859649122807,0
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,16890.0,351.875,707.8936578689371,3300.0,100.0,2.0833333333333335,4.708333333333333,21.0,74.02083333333333,2.5625,8.0,0.0,0.0,14.0,3.0,13.0,0.375,0.5416666666666666,0.4583333333333333,0.125,0.4375,0.3958333333333333,0.7291666666666666,0.7916666666666666,0.3541666666666667,0.3541666666666667,0.0625,48.0,16890.0,351.8749266927236,0.0,31.0,1.548386597294646,0.0,4.625,0
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,14880.0,323.4782608695652,471.622341339171,1800.0,230.0,5.0,2.4565217391304346,21.0,74.0,2.5434782608695654,8.0,0.0,0.0,9.0,5.0,4.0,0.3695652173913043,0.5652173913043478,0.41304347826086957,0.08695652173913043,0.34782608695652173,0.391304347826087,0.8043478260869565,0.782608695652174,0.2608695652173913,0.34782608695652173,0.043478260869565216,46.0,14880.0,323.4781905482194,0.0,44.0,1.0454543078512937,0.0,4.413043478260869,0
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,10480.0,349.3333333333333,822.984196996362,3300.0,120.0,4.0,1.4666666666666666,10.0,70.63333333333334,3.6666666666666665,10.0,0.0,0.0,7.0,6.0,8.0,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.06666666666666667,0.3,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.2,0.4,0.1,30.0,10480.0,349.3332168889277,0.0,25.0,1.199999520000192,0.0,4.333333333333333,0
