Feature,Importance
Total_Reimbursement,0.26341683
Inpatient_ClaimDuration_max,0.05071524
Outpatient_InscClaimAmtReimbursed_sum,0.0309565
Total_Claims,0.02393364
Claims_Per_Beneficiary,0.022039764
Inpatient_DeductibleAmtPaid_sum,0.018098941
Outpatient_NumDiagnoses_max,0.017966963
Outpatient_InscClaimAmtReimbursed_max,0.017066397
Outpatient_ChronicCond_Cancer_mean,0.014550474
Outpatient_ChronicCond_Diabetes_mean,0.014292042
Outpatient_ClaimDuration_mean,0.014162652
Outpatient_InscClaimAmtReimbursed_std,0.013713156
Outpatient_BeneID_nunique,0.013059848
Outpatient_ChronicCond_rheumatoidarthritis_mean,0.013059764
Inpatient_ClaimID_count,0.012973599
Inpatient_InscClaimAmtReimbursed_max,0.012664043
Inpatient_ChronicCond_Alzheimer_mean,0.012477248
Inpatient_ClaimDuration_mean,0.012398024
Outpatient_DeductibleAmtPaid_sum,0.012340519
Inpatient_ChronicCond_Depression_mean,0.01161156
Inpatient_NumDiagnoses_max,0.011531127
Outpatient_ClaimID_count,0.011458093
Outpatient_ChronicCond_ObstrPulmonary_mean,0.0113695385
Inpatient_ChronicCond_rheumatoidarthritis_mean,0.010964019
Outpatient_ChronicCond_IschemicHeart_mean,0.010779689
Inpatient_InscClaimAmtReimbursed_sum,0.01056684
Inpatient_InscClaimAmtReimbursed_std,0.010537014
Avg_Chronic_Conditions_Inpatient,0.010508389
Outpatient_ChronicCond_Heartfailure_mean,0.010478213
Inpatient_Age_mean,0.010369558
Inpatient_LengthOfStay_mean,0.010358738
Outpatient_NumProcedures_mean,0.010288587
Outpatient_Age_mean,0.010049219
Inpatient_InscClaimAmtReimbursed_mean,0.010047663
Outpatient_ChronicCond_KidneyDisease_mean,0.010046676
Inpatient_ChronicCond_IschemicHeart_mean,0.0099891275
Total_Unique_Beneficiaries,0.009936342
Inpatient_ChronicCond_Cancer_mean,0.009841029
Outpatient_NumDiagnoses_mean,0.009665583
Inpatient_NumProcedures_max,0.009399584
Inpatient_BeneID_nunique,0.009046662
Inpatient_NumProcedures_mean,0.009011733
Outpatient_ChronicCond_stroke_mean,0.00888306
Outpatient_InscClaimAmtReimbursed_mean,0.008849328
Inpatient_ChronicCond_stroke_mean,0.008714642
Avg_Chronic_Conditions_Outpatient,0.008685222
Inpatient_Outpatient_Ratio,0.008659207
Outpatient_OtherPhysician_nunique,0.0083275875
Inpatient_ChronicCond_Osteoporasis_mean,0.008188844
Outpatient_OperatingPhysician_nunique,0.007865763
Outpatient_DeductibleAmtPaid_mean,0.007748014
Inpatient_LengthOfStay_max,0.0077450164
Outpatient_ClaimDuration_max,0.00769717
Inpatient_ChronicCond_Diabetes_mean,0.0072808475
Avg_Reimbursement_Per_Claim,0.0068210717
Outpatient_ChronicCond_Alzheimer_mean,0.0066875317
Inpatient_OperatingPhysician_nunique,0.0066003795
Inpatient_ChronicCond_ObstrPulmonary_mean,0.0066002435
Outpatient_AttendingPhysician_nunique,0.006474145
Outpatient_ChronicCond_Depression_mean,0.0063154516
Inpatient_ChronicCond_KidneyDisease_mean,0.0062837186
Inpatient_NumDiagnoses_mean,0.0061951
Outpatient_ChronicCond_Osteoporasis_mean,0.0058329212
Inpatient_OtherPhysician_nunique,0.0058262674
Inpatient_ChronicCond_Heartfailure_mean,0.0054075974
Inpatient_AttendingPhysician_nunique,0.004570294
Inpatient_DeductibleAmtPaid_mean,0.0
Outpatient_NumProcedures_max,0.0
